t_i,min_t,max_t,length_t,g_mse,g_pct_min,k4_mse,k4_pct_min,l_mse,l_pct_min
39,1,50,45,12848.382505246429,1.008177716451047,15494.65584531941,1.0258464282256634,13313.87516692188,1.0076663008875428
40,1,50,47,12841.546645156308,1.007641325056035,15480.067455787017,1.0248805824886063,13313.90109123109,1.007668262979904
41,1,50,49,12833.49757484425,1.0070097363464485,15460.160000241898,1.0235625801805919,13313.856325269084,1.0076648748490424
42,1,50,50,12828.702215309022,1.0066334574939302,15484.032951402798,1.025143123945106,13314.357816531961,1.0077028304284255
43,1,49,11,12818.831092351818,1.0058588972566602,15465.704379177283,1.0239296539242344,13315.795287555637,1.0078116260338295
44,1,49,13,12804.516010820025,1.004735631646873,15467.205710894093,1.0240290517937092,13315.483537668233,1.0077880311110963
45,1,49,15,12822.160989987005,1.0061201852898027,15477.032031386088,1.02467961776174,13315.037867546318,1.0077543003784932
46,1,49,17,12813.934771079354,1.0054746962105388,15451.393303607521,1.022982168165024,13315.434186908453,1.0077842959778665
47,1,49,19,12805.51537699904,1.0048140491995763,15442.56307086399,1.0223975496481117,13315.577952776319,1.0077951769586817
48,1,49,21,12841.594874134598,1.0076451094531123,15452.612104207432,1.0230628606472978,13315.193394157923,1.007766071476197
49,1,49,23,12838.60831959157,1.007410762620893,15447.094075676736,1.0226975314708662,13315.449642675949,1.0077854657541987
50,1,49,25,12824.341247146021,1.0062912641538508,15437.142662201968,1.0220386835383404,13315.441970096788,1.0077848850517839
51,1,49,27,12817.784975195564,1.0057768112816121,15419.188930444003,1.0208500303806909,13315.654934602873,1.0078010033609446
52,1,49,29,12816.271233368752,1.0056580320673703,15435.640976918083,1.0219392622604384,13315.535578929295,1.0077919698760593
53,1,49,31,12806.421837148167,1.0048851766681763,15425.73299306139,1.021283289649509,13315.582473541144,1.007795519114689
54,1,49,33,12846.175357738495,1.0080045275742753,15435.292451857022,1.0219161876473197,13315.313080488739,1.007775129987016
55,1,49,35,12842.950136524256,1.0077514532158887,15436.307075955621,1.0219833623247008,13315.25533403969,1.0077707594224752
56,1,49,37,12835.339525469513,1.007154269214647,15428.972761946248,1.0214977833028038,13315.364728295108,1.007779038973193
57,1,49,39,12834.280269765763,1.0070711522934228,15417.623966340268,1.0207464196356608,13315.454189306764,1.0077858098678845
58,1,49,41,12836.119878801208,1.007215501423421,15427.778193982176,1.0214186951777464,13315.39643990571,1.00778143907992
59,1,49,43,12846.63924812891,1.0080409277946376,15429.354515123121,1.021523057832091,13315.323819570342,1.0077759427789714
60,1,49,45,12838.423569679127,1.0073962657965054,15435.614739605053,1.0219375251806266,13315.305421064113,1.0077745502802076
61,1,49,47,12825.243529355823,1.0063620637908868,15440.973517388202,1.0222923109276207,13315.11321865886,1.007760003359473
62,1,49,49,12828.888960561173,1.0066481108872112,15419.51631911749,1.020871705628253,13315.445578706742,1.007785158170962
63,1,48,11,12832.657575362411,1.0069438238660973,15413.016472740246,1.0204413737604998,13318.09904641648,1.0079859870023933
64,1,48,13,12834.169500422056,1.0070624605235485,15418.052691863642,1.0207748040380789,13318.150268418296,1.007989863761372
65,1,48,15,12829.920659301444,1.0067290654882752,15393.305879549855,1.01913640501357,13317.41459753982,1.0079341841982479
66,1,48,17,12828.767752602636,1.006638600027552,15403.969763731327,1.0198424231147647,13318.05726709987,1.007982824917058
67,1,48,19,12821.877545307447,1.0060979441548068,15371.510064163664,1.0176933810711606,13318.22787926745,1.0079957377714777
68,1,48,21,12836.67126147964,1.0072587669262503,15371.873022997303,1.017717411293374,13317.568532437077,1.0079458348263746
69,1,48,23,12830.900691345698,1.006805965943879,15364.224938505953,1.0172110586362682,13317.642494073883,1.0079514326442927
70,1,48,25,12837.764045345948,1.0073445147114255,15387.238263558773,1.018734689592819,13318.079541574005,1.0079845107701004
71,1,48,27,12823.990265606883,1.0062637235847167,15352.664160951848,1.0164456603931717,13317.894617496993,1.0079705147127322
72,1,48,29,12819.864094393028,1.0059399541242129,15350.005849455814,1.0162696629795769,13317.92227190476,1.0079726077483382
73,1,48,31,12829.52036719574,1.0066976556527667,15350.040524040358,1.0162719586613307,13318.311044037402,1.0080020321324394
74,1,48,33,12840.394321390258,1.007550905336464,15375.243913830003,1.0179405860676436,13317.18375365621,1.0079167126807997
75,1,48,35,12844.309212570042,1.0078580962259145,15359.815399097226,1.016919118608834,13317.694014811375,1.007955332013208
76,1,48,37,12838.45279657588,1.0073985591517987,15356.369064736218,1.0166909489850615,13317.871168655109,1.0079687399771677
77,1,48,39,12841.108608744138,1.0076069535272014,15364.256158027703,1.0172131255705192,13317.641836268396,1.0079513828580047
78,1,48,41,12840.817826641078,1.0075841366444904,15350.912076569093,1.0163296610754753,13317.953608830028,1.0079749794968464
79,1,48,43,12837.854972043378,1.0073516494826813,15360.858882264185,1.0169882039431857,13317.629130819569,1.00795042124071
80,1,48,45,12826.485173052326,1.0064594922030683,15345.115358903271,1.0159458808758839,13317.587836504492,1.0079472958629219
81,1,48,47,12820.796339697203,1.0060131048839722,15326.159943652454,1.0146909097926469,13317.610432398453,1.0079490060427603
82,1,48,48,12839.493959582567,1.007480256388171,15347.111305968383,1.0160780254803277,13318.903112973676,1.0080468431215321
83,1,47,11,12855.12363674467,1.008706674750461,15329.53173089022,1.0149141439147293,13323.36348245205,1.0083844280813214
84,1,47,13,12848.85997443125,1.0082151821625662,15309.299677059691,1.01357465110089,13322.866819640472,1.0083468379453275
85,1,47,15,12852.92783556765,1.0085343761894923,15314.399050201453,1.013912262582932,13322.121002030251,1.0082903904224985
86,1,47,17,12853.58605253962,1.008586024689485,15291.394465306703,1.0123892102813719,13323.246997493306,1.0083756118677085
87,1,47,19,12849.272013621341,1.0082475137599158,15289.656262421591,1.0122741300085976,13323.667548761241,1.0084074414691717
88,1,47,21,12845.66122323332,1.007964184834544,15298.876846378702,1.0128845923004344,13321.72553512989,1.0082604593420568
89,1,47,23,12834.322631935745,1.007074476337969,15316.72951118904,1.0140665541725031,13321.019539130939,1.0082070257348024
90,1,47,25,12853.903961713506,1.0086109701598458,15272.523975519782,1.011139861813098,13323.333057077996,1.0083821253239542
91,1,47,27,12844.802968499209,1.007896839914075,15277.343458104388,1.0114589427300715,13322.718744345702,1.0083356308037055
92,1,47,29,12841.704899532771,1.007653742847599,15276.694881794838,1.0114160027837296,13322.605572225168,1.0083270653236605
93,1,47,31,12845.909368733912,1.0079836561387359,15267.711781342865,1.010821263435851,13323.715785823822,1.0084110923117557
94,1,47,33,12850.591978148672,1.0083510877952013,15291.160652258113,1.0123737303453757,13321.27685215047,1.0082265005800528
95,1,47,35,12848.127891661175,1.0081577376138002,15292.550261675911,1.0124657314760952,13321.499410619641,1.0082433450123875
96,1,47,37,12843.893428071218,1.00782547074435,15278.380569807132,1.0115276062322849,13321.8579359973,1.0082704801579818
97,1,47,39,12846.415798971037,1.0080233943454555,15288.390790608262,1.0121903475901506,13321.762463587293,1.0082632542880512
98,1,47,41,12847.7812689714,1.0081305390717497,15285.975034489158,1.0120304089112289,13321.574127494172,1.0082489999907938
99,1,47,43,12852.117226144112,1.0084707698672783,15286.681442997604,1.0120771777231659,13321.659288370081,1.0082554454278834
100,1,47,45,12836.430047979908,1.0072398395573587,15295.619937996353,1.0126689639015565,13321.006603552156,1.008206046700024
101,1,47,47,12847.091349890423,1.0080764029932736,15274.364320009367,1.0112617045206864,13322.199674547972,1.0082963447854407
102,1,46,11,12865.34033428891,1.009508351288003,15289.2678507887,1.0122484146464585,13326.614280471324,1.008630466111117
